date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
1-Nov-21,Nagaland,4-Wheelers,0,692
1-Nov-21,Tripura,2-Wheelers,0,3843
1-Nov-21,Tripura,4-Wheelers,0,326
1-Dec-21,Andaman & Nicobar Island,2-Wheelers,0,376
1-Dec-21,Arunachal Pradesh,2-Wheelers,0,1036
1-Dec-21,Arunachal Pradesh,4-Wheelers,0,709
1-Dec-21,Jammu and Kashmir,4-Wheelers,0,5306
1-Dec-21,Ladakh,2-Wheelers,0,15
1-Dec-21,Ladakh,4-Wheelers,0,167
1-Dec-21,Manipur,4-Wheelers,0,849
1-Dec-21,Meghalaya,2-Wheelers,0,1101
1-Dec-21,Meghalaya,4-Wheelers,0,888
1-Dec-21,Mizoram,2-Wheelers,0,1740
1-Dec-21,Mizoram,4-Wheelers,0,376
1-Dec-21,Nagaland,2-Wheelers,0,353
1-Dec-21,Nagaland,4-Wheelers,0,540
1-Dec-21,Tripura,4-Wheelers,0,352
1-Jan-22,Andaman & Nicobar Island,2-Wheelers,0,336
1-Jan-22,Andaman & Nicobar Island,4-Wheelers,0,90
1-Jan-22,Arunachal Pradesh,2-Wheelers,0,950
1-Jan-22,Arunachal Pradesh,4-Wheelers,0,766
1-Jan-22,Assam,4-Wheelers,0,5550
1-Jan-22,DNH and DD,4-Wheelers,0,358
1-Jan-22,Jammu and Kashmir,4-Wheelers,0,3963
1-Jan-22,Ladakh,4-Wheelers,0,150
1-Jan-22,Manipur,4-Wheelers,0,687
1-Jan-22,Meghalaya,2-Wheelers,0,1112
1-Jan-22,Meghalaya,4-Wheelers,0,1063
1-Jan-22,Mizoram,2-Wheelers,0,1387
1-Jan-22,Mizoram,4-Wheelers,0,311
1-Jan-22,Nagaland,2-Wheelers,0,410
1-Jan-22,Nagaland,4-Wheelers,0,722
1-Jan-22,Puducherry,4-Wheelers,0,758
1-Jan-22,Tripura,4-Wheelers,0,394
1-Feb-22,Andaman & Nicobar Island,2-Wheelers,0,388
1-Feb-22,Andaman & Nicobar Island,4-Wheelers,0,112
1-Feb-22,Arunachal Pradesh,2-Wheelers,0,858
1-Feb-22,Arunachal Pradesh,4-Wheelers,0,671
1-Feb-22,Ladakh,2-Wheelers,0,15
1-Feb-22,Ladakh,4-Wheelers,0,44
1-Feb-22,Manipur,4-Wheelers,0,834
1-Feb-22,Meghalaya,2-Wheelers,0,1145
1-Feb-22,Mizoram,2-Wheelers,0,1599
1-Feb-22,Mizoram,4-Wheelers,0,354
1-Feb-22,Nagaland,2-Wheelers,0,504
1-Feb-22,Nagaland,4-Wheelers,0,773
1-Feb-22,Puducherry,4-Wheelers,0,622
1-Feb-22,Tripura,4-Wheelers,0,340
1-Mar-22,Andaman & Nicobar Island,2-Wheelers,0,383
1-Mar-22,Arunachal Pradesh,2-Wheelers,0,1111
1-Mar-22,Arunachal Pradesh,4-Wheelers,0,679
1-Mar-22,Ladakh,2-Wheelers,0,49
1-Mar-22,Ladakh,4-Wheelers,0,49
1-Mar-22,Manipur,4-Wheelers,0,717
1-Mar-22,Meghalaya,2-Wheelers,0,1687
1-Mar-22,Meghalaya,4-Wheelers,0,1104
1-Mar-22,Mizoram,2-Wheelers,0,1848
1-Mar-22,Mizoram,4-Wheelers,0,413
1-Mar-22,Nagaland,2-Wheelers,0,541
1-Mar-22,Nagaland,4-Wheelers,0,632
1-Mar-22,Tripura,4-Wheelers,0,484
1-Apr-22,Andaman & Nicobar Island,2-Wheelers,0,407
1-Apr-22,Arunachal Pradesh,2-Wheelers,0,1063
1-Apr-22,Arunachal Pradesh,4-Wheelers,0,824
1-Apr-22,Ladakh,2-Wheelers,0,351
1-Apr-22,Ladakh,4-Wheelers,0,105
1-Apr-22,Mizoram,2-Wheelers,0,1530
1-Apr-22,Mizoram,4-Wheelers,0,323
1-Apr-22,Nagaland,4-Wheelers,0,723
1-Apr-22,Tripura,4-Wheelers,0,448
1-May-22,Andaman & Nicobar Island,2-Wheelers,0,358
1-May-22,Andaman & Nicobar Island,4-Wheelers,0,110
1-May-22,Arunachal Pradesh,2-Wheelers,0,1241
1-May-22,Arunachal Pradesh,4-Wheelers,0,965
1-May-22,Ladakh,2-Wheelers,0,419
1-May-22,Ladakh,4-Wheelers,0,322
1-May-22,Manipur,4-Wheelers,0,644
1-May-22,Meghalaya,2-Wheelers,0,1780
1-May-22,Mizoram,4-Wheelers,0,397
1-May-22,Nagaland,4-Wheelers,0,630
1-May-22,Tripura,4-Wheelers,0,359
1-Jun-22,Andaman & Nicobar Island,2-Wheelers,0,423
1-Jun-22,Andaman & Nicobar Island,4-Wheelers,0,115
1-Jun-22,Arunachal Pradesh,2-Wheelers,0,1253
1-Jun-22,Arunachal Pradesh,4-Wheelers,0,1021
1-Jun-22,Ladakh,4-Wheelers,0,310
1-Jun-22,Manipur,4-Wheelers,0,1029
1-Jun-22,Mizoram,4-Wheelers,0,373
1-Jun-22,Nagaland,2-Wheelers,0,594
1-Jun-22,Nagaland,4-Wheelers,0,735
1-Jun-22,Tripura,4-Wheelers,0,354
1-Jul-22,Andaman & Nicobar Island,2-Wheelers,0,385
1-Jul-22,Andaman & Nicobar Island,4-Wheelers,0,127
1-Jul-22,Arunachal Pradesh,2-Wheelers,0,1181
1-Jul-22,DNH and DD,4-Wheelers,0,344
1-Jul-22,Ladakh,2-Wheelers,0,314
1-Jul-22,Manipur,4-Wheelers,0,775
1-Jul-22,Mizoram,4-Wheelers,0,319
1-Jul-22,Nagaland,2-Wheelers,0,505
1-Jul-22,Nagaland,4-Wheelers,0,591
1-Jul-22,Tripura,4-Wheelers,0,402
1-Aug-22,Andaman & Nicobar Island,2-Wheelers,0,398
1-Aug-22,Andaman & Nicobar Island,4-Wheelers,0,154
1-Aug-22,Arunachal Pradesh,2-Wheelers,0,1244
1-Aug-22,Arunachal Pradesh,4-Wheelers,0,866
1-Aug-22,Ladakh,2-Wheelers,0,222
1-Aug-22,Manipur,4-Wheelers,0,623
1-Aug-22,Meghalaya,4-Wheelers,0,1120
1-Aug-22,Mizoram,4-Wheelers,0,408
1-Aug-22,Nagaland,2-Wheelers,0,554
1-Aug-22,Nagaland,4-Wheelers,0,844
1-Aug-22,Tripura,4-Wheelers,0,403
1-Sep-22,Andaman & Nicobar Island,2-Wheelers,0,484
1-Sep-22,Andaman & Nicobar Island,4-Wheelers,0,128
1-Sep-22,Arunachal Pradesh,2-Wheelers,0,1068
1-Sep-22,Arunachal Pradesh,4-Wheelers,0,931
1-Sep-22,Ladakh,2-Wheelers,0,30
1-Sep-22,Ladakh,4-Wheelers,0,189
1-Sep-22,Manipur,4-Wheelers,0,820
1-Sep-22,Mizoram,4-Wheelers,0,379
1-Sep-22,Nagaland,2-Wheelers,0,589
1-Sep-22,Nagaland,4-Wheelers,0,780
1-Sep-22,Tripura,4-Wheelers,0,465
1-Oct-22,Andaman & Nicobar Island,2-Wheelers,0,409
1-Oct-22,Andaman & Nicobar Island,4-Wheelers,0,144
1-Oct-22,Arunachal Pradesh,2-Wheelers,0,850
1-Oct-22,Arunachal Pradesh,4-Wheelers,0,741
1-Oct-22,Ladakh,2-Wheelers,0,27
1-Oct-22,Ladakh,4-Wheelers,0,264
1-Oct-22,Manipur,4-Wheelers,0,596
1-Oct-22,Mizoram,4-Wheelers,0,362
1-Oct-22,Nagaland,2-Wheelers,0,374
1-Oct-22,Nagaland,4-Wheelers,0,690
1-Oct-22,Tripura,4-Wheelers,0,416
1-Nov-22,Arunachal Pradesh,2-Wheelers,0,1251
1-Nov-22,Arunachal Pradesh,4-Wheelers,0,971
1-Nov-22,Jammu and Kashmir,4-Wheelers,0,4102
1-Nov-22,Ladakh,2-Wheelers,0,23
1-Nov-22,Ladakh,4-Wheelers,0,244
1-Nov-22,Manipur,4-Wheelers,0,1569
1-Nov-22,Meghalaya,4-Wheelers,0,1158
1-Nov-22,Mizoram,4-Wheelers,0,378
1-Nov-22,Nagaland,2-Wheelers,0,447
1-Nov-22,Nagaland,4-Wheelers,0,724
1-Nov-22,Punjab,4-Wheelers,0,8875
1-Nov-22,Tripura,4-Wheelers,0,410
1-Dec-22,Arunachal Pradesh,4-Wheelers,0,865
1-Dec-22,Ladakh,2-Wheelers,0,16
1-Dec-22,Ladakh,4-Wheelers,0,144
1-Dec-22,Manipur,4-Wheelers,0,1478
1-Dec-22,Meghalaya,4-Wheelers,0,1150
1-Dec-22,Mizoram,4-Wheelers,0,445
1-Dec-22,Nagaland,2-Wheelers,0,369
1-Dec-22,Nagaland,4-Wheelers,0,490
1-Dec-22,Tripura,4-Wheelers,0,385
1-Jan-23,Andaman & Nicobar Island,2-Wheelers,0,373
1-Jan-23,Andaman & Nicobar Island,4-Wheelers,0,153
1-Jan-23,Arunachal Pradesh,2-Wheelers,0,718
1-Jan-23,Arunachal Pradesh,4-Wheelers,0,966
1-Jan-23,Ladakh,4-Wheelers,0,92
1-Jan-23,Mizoram,4-Wheelers,0,476
1-Jan-23,Nagaland,2-Wheelers,0,432
1-Jan-23,Nagaland,4-Wheelers,0,545
1-Jan-23,Punjab,4-Wheelers,0,11608
1-Jan-23,Tripura,4-Wheelers,0,399
1-Feb-23,Andaman & Nicobar Island,2-Wheelers,0,346
1-Feb-23,Andaman & Nicobar Island,4-Wheelers,0,148
1-Feb-23,Arunachal Pradesh,2-Wheelers,0,816
1-Feb-23,Arunachal Pradesh,4-Wheelers,0,840
1-Feb-23,Ladakh,2-Wheelers,0,5
1-Feb-23,Ladakh,4-Wheelers,0,49
1-Feb-23,Meghalaya,4-Wheelers,0,1002
1-Feb-23,Mizoram,4-Wheelers,0,337
1-Feb-23,Nagaland,2-Wheelers,0,375
1-Feb-23,Nagaland,4-Wheelers,0,806
1-Feb-23,Tripura,4-Wheelers,0,328
1-Mar-23,Arunachal Pradesh,2-Wheelers,0,1131
1-Mar-23,Arunachal Pradesh,4-Wheelers,0,1048
1-Mar-23,Ladakh,2-Wheelers,0,30
1-Mar-23,Ladakh,4-Wheelers,0,59
1-Mar-23,Manipur,4-Wheelers,0,320
1-Mar-23,Meghalaya,4-Wheelers,0,1369
1-Mar-23,Mizoram,4-Wheelers,0,433
1-Mar-23,Nagaland,2-Wheelers,0,693
1-Mar-23,Nagaland,4-Wheelers,0,820
1-Apr-23,Andaman & Nicobar Island,2-Wheelers,0,325
1-Apr-23,Arunachal Pradesh,2-Wheelers,0,971
1-Apr-23,Ladakh,2-Wheelers,0,43
1-Apr-23,Ladakh,4-Wheelers,0,219
1-Apr-23,Manipur,4-Wheelers,0,942
1-Apr-23,Mizoram,4-Wheelers,0,336
1-Apr-23,Nagaland,2-Wheelers,0,560
1-May-23,Andaman & Nicobar Island,2-Wheelers,0,436
1-May-23,Andaman & Nicobar Island,4-Wheelers,0,150
1-May-23,Arunachal Pradesh,4-Wheelers,0,1132
1-May-23,Ladakh,4-Wheelers,0,364
1-May-23,Mizoram,4-Wheelers,0,382
1-May-23,Nagaland,2-Wheelers,0,610
1-May-23,Nagaland,4-Wheelers,0,796
1-Jun-23,Andaman & Nicobar Island,2-Wheelers,0,373
1-Jun-23,Arunachal Pradesh,2-Wheelers,0,1141
1-Jun-23,Arunachal Pradesh,4-Wheelers,0,1089
1-Jun-23,Ladakh,4-Wheelers,0,304
1-Jun-23,Manipur,4-Wheelers,0,220
1-Jun-23,Mizoram,4-Wheelers,0,383
1-Jun-23,Nagaland,2-Wheelers,0,650
1-Jun-23,Nagaland,4-Wheelers,0,620
1-Jul-23,Andaman & Nicobar Island,2-Wheelers,0,424
1-Jul-23,Arunachal Pradesh,2-Wheelers,0,1315
1-Jul-23,Ladakh,4-Wheelers,0,301
1-Jul-23,Mizoram,4-Wheelers,0,439
1-Aug-23,Andaman & Nicobar Island,2-Wheelers,0,477
1-Aug-23,Arunachal Pradesh,2-Wheelers,0,1292
1-Aug-23,Ladakh,2-Wheelers,0,63
1-Aug-23,Ladakh,4-Wheelers,0,278
1-Aug-23,Mizoram,4-Wheelers,0,410
1-Aug-23,Nagaland,2-Wheelers,0,592
1-Aug-23,Nagaland,4-Wheelers,0,760
1-Sep-23,Andaman & Nicobar Island,2-Wheelers,0,379
1-Sep-23,Arunachal Pradesh,2-Wheelers,0,1274
1-Sep-23,Ladakh,2-Wheelers,0,40
1-Sep-23,Ladakh,4-Wheelers,0,211
1-Sep-23,Manipur,2-Wheelers,0,426
1-Sep-23,Manipur,4-Wheelers,0,239
1-Sep-23,Mizoram,4-Wheelers,0,415
1-Sep-23,Nagaland,4-Wheelers,0,654
1-Oct-23,Arunachal Pradesh,2-Wheelers,0,1281
1-Oct-23,Ladakh,2-Wheelers,0,33
1-Oct-23,Ladakh,4-Wheelers,0,187
1-Oct-23,Mizoram,4-Wheelers,0,453
1-Oct-23,Nagaland,2-Wheelers,0,471
1-Oct-23,Nagaland,4-Wheelers,0,743
1-Nov-23,Arunachal Pradesh,2-Wheelers,0,1458
1-Nov-23,Ladakh,2-Wheelers,0,39
1-Nov-23,Ladakh,4-Wheelers,0,166
1-Nov-23,Mizoram,4-Wheelers,0,531
1-Dec-23,Ladakh,2-Wheelers,0,7
1-Dec-23,Ladakh,4-Wheelers,0,144
1-Dec-23,Mizoram,4-Wheelers,0,568
1-Dec-23,Nagaland,2-Wheelers,0,421
1-Dec-23,Nagaland,4-Wheelers,0,562
1-Jan-24,Arunachal Pradesh,2-Wheelers,0,995
1-Jan-24,Nagaland,2-Wheelers,0,505
1-Jan-24,Ladakh,4-Wheelers,0,141
1-Jan-24,Andaman & Nicobar,4-Wheelers,0,177
1-Jan-24,Nagaland,4-Wheelers,0,877
1-Feb-24,Arunachal Pradesh,2-Wheelers,0,1117
1-Feb-24,Nagaland,2-Wheelers,0,763
1-Feb-24,Ladakh,2-Wheelers,0,4
1-Feb-24,Mizoram,4-Wheelers,0,494
1-Feb-24,Ladakh,4-Wheelers,0,47
1-Mar-24,Arunachal Pradesh,2-Wheelers,0,1259
1-Mar-24,Ladakh,2-Wheelers,0,11
1-Mar-24,Mizoram,4-Wheelers,0,463
1-Mar-24,Nagaland,4-Wheelers,0,1336
1-Mar-24,Ladakh,4-Wheelers,0,81
1-Apr-21,DNH and DD,2-Wheelers,1,657
1-Apr-21,Himachal Pradesh,4-Wheelers,1,3544
1-Apr-21,Meghalaya,4-Wheelers,1,930
1-May-21,Chandigarh,4-Wheelers,1,413
1-May-21,Haryana,4-Wheelers,1,4373
1-May-21,Himachal Pradesh,4-Wheelers,1,1503
1-May-21,Jharkhand,4-Wheelers,1,2290
1-May-21,Madhya Pradesh,2-Wheelers,1,6302
1-May-21,Meghalaya,4-Wheelers,1,88
1-Jun-21,Assam,4-Wheelers,1,3842
1-Jun-21,DNH and DD,4-Wheelers,1,234
1-Jun-21,Himachal Pradesh,4-Wheelers,1,3193
1-Jun-21,Jammu and Kashmir,4-Wheelers,1,4469
1-Jun-21,Tripura,2-Wheelers,1,1523
1-Jul-21,Jammu and Kashmir,4-Wheelers,1,5336
1-Jul-21,Meghalaya,4-Wheelers,1,759
1-Aug-21,Andaman & Nicobar Island,4-Wheelers,1,110
1-Aug-21,Puducherry,4-Wheelers,1,837
1-Sep-21,DNH and DD,2-Wheelers,1,666
1-Sep-21,Himachal Pradesh,4-Wheelers,1,3379
1-Sep-21,Jammu and Kashmir,4-Wheelers,1,3773
1-Sep-21,Nagaland,2-Wheelers,1,578
1-Oct-21,Andaman & Nicobar Island,4-Wheelers,1,70
